Segments
100
,,Stap:segment,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,18.724,68.9371,-34.5134,-148.681,-741.79,1104.27
2,0,23.3108,63.6153,-26.0887,-147.718,-740.369,1102.91
3,0,18.487,68.3641,-34.1179,-149.244,-742.388,1102.19
4,0,18.2519,68.1649,-34.1213,-149.515,-742.661,1101.07
5,0,20.0413,65.8421,-30.7479,-149.419,-742.247,1099.7
6,0,18.0044,67.4662,-33.9442,-150.213,-743.266,1098.96
7,0,17.785,67.2574,-33.866,-150.446,-743.425,1097.93
8,0,17.8363,66.6983,-33.1131,-150.482,-743.392,1096.96
9,0,17.6359,66.4582,-33.1328,-150.783,-743.62,1096.17
10,0,17.1732,66.3652,-33.4343,-150.968,-743.802,1095.46
11,0,17.4353,65.5147,-32.6224,-150.896,-743.651,1094.65
12,0,17.2489,65.1807,-32.6702,-150.902,-743.587,1094.07
13,0,17.1285,64.7671,-32.6494,-150.859,-743.32,1093.73
14,0,16.7428,64.5445,-33.0467,-150.698,-743.038,1093.79
15,0,16.9204,63.5943,-32.0553,-150.025,-742.105,1093.7
16,0,16.2389,63.093,-32.3159,-149.639,-741.299,1094.08
17,0,15.5357,62.9194,-32.7582,-149.221,-740.559,1094.87
18,0,14.9024,62.5477,-32.853,-148.431,-739.605,1095.82
19,0,14.3383,61.8774,-32.9345,-147.47,-738.455,1097.24
20,0,14.9579,59.714,-30.3469,-145.457,-736.233,1098.84
21,0,14.9468,58.4136,-29.9309,-143.752,-734.271,1101.09
22,0,14.4884,57.6564,-30.4252,-141.942,-731.939,1104.34
23,0,12.4707,58.9515,-34.3242,-140.352,-729.695,1108.77
24,0,13.941,56.9808,-31.5355,-137.729,-725.623,1113.4
25,0,12.8387,58.0706,-34.0904,-135.597,-722.177,1119.3
26,,,,,,,
27,0,13.3943,57.2918,-33.6043,-130.611,-713.279,1133.27
28,0,13.6894,57.0974,-33.4079,-128.289,-708.465,1141.82
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,0,17.4954,59.2285,-31.4841,-116.488,-678.352,1202.95
34,0,18.8181,60.1989,-31.4866,-113.936,-671.491,1218.31
35,0,5.22658,75.9792,-59.5005,-110.406,-660.466,1235.02
36,0,6.08443,78.2361,-60.8991,-107.941,-653.384,1252.35
37,0,7.93256,79.3208,-60.4915,-106.722,-643.863,1268.88
38,0,6.29965,82.7996,-63.2393,-104.064,-637.097,1287.78
39,0,5.54127,85.853,-65.1057,-101.512,-630.68,1307.42
40,0,28.2234,67.487,-28.9401,-96.601,-634.061,1328.19
41,0,29.6223,69.1557,-28.8407,-93.1251,-629.008,1348.46
42,0,31.3462,70.4544,-28.6402,-89.8261,-624.689,1369.14
43,0,33.0263,71.8084,-28.1644,-86.2347,-620.668,1390.06
44,0,34.8613,73.1706,-27.6894,-82.8039,-617.461,1411.33
45,0,56.6762,44.9071,4.76574,-76.9446,-611.114,1432.66
46,0,48.6475,62.8471,-11.7507,-73.9331,-610.399,1454.23
47,0,51.554,63.0838,-9.97051,-70.2979,-609.126,1476.01
48,0,53.8826,64.1624,-9.14065,-66.6009,-608.497,1497.93
49,0,57.495,62.8517,-6.14355,-62.4551,-609.372,1519.5
50,0,57.074,68.7791,-10.8045,-59.8226,-609.734,1542.25
51,0,58.9076,70.441,-10.4713,-55.8463,-610.992,1564.27
52,0,60.8726,72.2069,-10.1903,-51.5213,-612.91,1586.05
53,0,63.6126,73.2685,-9.58112,-46.8368,-615.426,1607.52
54,0,65.5846,75.1725,-9.4682,-42.1391,-618.524,1628.51
55,0,67.4622,77.2924,-9.22867,-37.0609,-621.896,1648.78
56,0,69.5502,79.0374,-8.93303,-32.2891,-625.92,1668.4
57,0,71.87,80.2934,-8.3058,-27.5127,-630.435,1687.35
58,0,74.0082,81.5859,-7.65112,-22.778,-635.362,1705.52
59,0,76.2138,82.7126,-6.86304,-18.0845,-640.629,1722.87
60,0,78.382,83.627,-6.0662,-13.4029,-646.302,1739.51
61,0,80.7628,84.3116,-5.43581,-9.10098,-652.402,1755.31
62,0,82.521,85.715,-4.6858,-4.25091,-658.368,1770.23
63,0,84.2262,87.1001,-4.07374,0.635608,-664.394,1784.28
64,0,85.8686,88.445,-3.60166,5.578,-670.436,1797.35
65,0,87.464,89.6893,-3.18029,10.6533,-676.301,1809.36
66,0,88.7988,91.2113,-3.06762,15.663,-681.985,1820.32
67,0,89.9809,92.6486,-3.07839,20.5453,-687.439,1830.14
68,0,91.0226,94.125,-3.06648,25.2346,-692.5,1838.81
69,0,92.016,95.2053,-2.93487,29.6929,-697.219,1846.44
70,0,92.8303,96.2622,-2.7912,33.8244,-701.478,1852.98
71,0,93.6928,96.8366,-2.54881,37.5704,-705.278,1858.41
72,0,94.3798,97.1899,-2.10456,41.0023,-708.518,1862.84
73,0,95.162,97.2624,-1.80211,43.9991,-711.257,1866.29
74,0,95.791,96.9094,-1.43222,47.0399,-713.543,1868.88
75,0,96.076,96.992,-1.41333,49.5807,-715.222,1870.41
76,0,96.149,97.0002,-1.48373,52.2235,-716.503,1871.25
77,0,96.254,96.8643,-1.50327,54.7294,-717.348,1871.26
78,0,96.2022,96.8244,-1.5394,57.1344,-717.866,1870.52
79,0,96.0991,96.7779,-1.53188,59.6344,-718.016,1869.14
80,0,96.0367,96.8442,-1.65933,62.1017,-717.811,1867.06
81,0,95.8767,96.7977,-1.55259,64.5447,-717.118,1864.2
82,0,95.8127,96.3763,-1.41803,67.1817,-716.046,1860.7
83,0,95.7454,96.1018,-1.59859,69.6054,-714.349,1856.26
84,0,95.5296,95.4001,-1.70754,72.2509,-712.345,1851.23
85,0,95.3654,94.5812,-1.90078,75.1075,-709.77,1845.44
86,0,94.7887,94.215,-2.43272,78.1231,-706.818,1839.05
87,0,94.65,93.1565,-2.86604,81.5514,-703.598,1831.94
88,0,94.479,92.4024,-3.61281,85.108,-700.004,1824.08
89,0,93.816,92.123,-4.41978,89.127,-696.143,1815.6
90,0,93.2572,91.7388,-5.33293,93.2515,-691.915,1806.37
91,0,92.7001,90.921,-6.29307,97.4556,-687.393,1796.51
92,0,92.3099,89.5419,-6.9467,101.914,-682.441,1785.9
93,0,91.4342,88.8087,-8.05396,106.597,-677.22,1774.49
94,0,90.8902,87.3696,-8.9197,111.556,-671.782,1762.4
95,0,90.1767,86.3391,-10.2631,117.065,-666.347,1749.67
96,0,89.5764,85.2097,-11.5304,123.037,-660.929,1736.28
97,0,88.8493,84.3455,-13.2466,129.363,-655.587,1722.35
98,0,88.3293,83.0243,-14.9559,135.648,-650.349,1707.73
99,0,84.4864,86.1106,-20.119,142.302,-644.79,1692.42
100,0,85.0148,82.9242,-19.1747,149.164,-639.253,1676.06
101,0,84.591,80.4984,-19.2671,155.845,-633.763,1658.68
102,0,82.7858,79.653,-21.5732,162.202,-628.594,1640.94
103,0,81.9768,77.3157,-22.1613,168.871,-623.852,1622.53
104,0,80.1758,76.4276,-23.8704,175.755,-619.606,1603.76
105,0,78.7722,75.2742,-25.6263,183.12,-615.671,1584.53
106,0,77.2648,74.4638,-27.6417,190.92,-612.191,1564.97
107,0,75.8159,73.5567,-29.7694,198.931,-609.125,1544.96
108,0,74.6291,71.7594,-31.6616,207.068,-606.545,1524.71
109,0,73.4848,69.5936,-33.1866,215.136,-604.518,1503.85
110,0,71.9827,67.4367,-34.5982,222.939,-603.041,1482.95
111,0,68.653,71.0628,-36.9143,233.298,-601.037,1459.98
112,0,63.8949,73.3628,-42.7899,242.142,-606.788,1441.44
113,0,67.5101,61.9008,-38.6783,247.365,-603.084,1420.13
114,0,66.2916,59.681,-39.9142,255.615,-604.328,1399.23
115,0,64.9538,57.6028,-41.0918,264.122,-606.456,1378.37
116,0,63.5221,55.788,-42.5707,272.587,-609.189,1357.61
117,0,61.9817,53.7375,-43.8723,281.062,-612.473,1336.99
118,0,60.5956,50.9994,-44.8695,289.476,-616.373,1316.75
119,0,59.1353,48.1991,-45.6047,298.058,-620.73,1297.25
120,0,57.6346,46.2758,-46.862,306.646,-625.435,1278.54
121,0,56.3235,44.983,-48.3846,315.347,-630.508,1260.58
122,0,55.0984,43.9203,-50.3628,324.099,-636.007,1243.5
123,0,53.9232,42.8302,-52.4333,332.788,-641.864,1226.95
124,0,52.8441,41.6811,-54.4755,341.216,-648.127,1210.8
125,0,51.7916,40.2064,-56.1104,349.035,-654.664,1194.94
126,0,50.4918,38.6517,-57.3377,356.514,-661.589,1179.38
127,0,48.9609,36.5119,-57.9356,363.405,-668.865,1164.05
128,0,47.1471,33.8824,-58.2541,369.772,-676.265,1149.28
129,0,45.5162,28.8307,-55.7387,375.946,-683.111,1135.29
130,0,43.4837,29.6272,-59.2535,380.96,-690.61,1123.29
131,0,42.1381,26.4679,-57.2114,386.737,-696.782,1112.43
132,0,41.3719,25.4975,-57.9376,391.548,-702.703,1102.99
133,0,40.7392,25.1511,-59.1312,396.823,-708.212,1095.03
134,0,40.3795,24.592,-60.2851,401.887,-713.327,1087.99
135,0,40.3445,23.7059,-61.5752,405.95,-718.087,1081.48
136,0,39.8403,17.9037,-56.3794,410.098,-723.133,1076.54
137,0,39.2065,16.8608,-56.5865,412.926,-727.015,1071.63
138,0,38.5106,16.4303,-57.1027,414.829,-730.249,1067.49
139,0,37.8831,16.1924,-57.3616,415.737,-732.711,1064.23
140,0,37.5374,15.4645,-56.7283,415.84,-734.271,1061.78
141,0,37.3406,15.5665,-56.6969,415.926,-735.083,1060.45
142,0,37.3275,15.522,-56.3605,415.631,-735.264,1059.95
143,0,37.4327,15.9301,-56.6347,415.061,-734.831,1060.19
144,0,37.5598,15.8215,-56.4093,413.789,-733.88,1060.94
145,0,37.7572,15.7727,-56.187,411.841,-732.587,1062.14
146,0,37.8912,16.0875,-56.2966,409.447,-730.804,1063.86
147,0,37.7821,16.8473,-56.4975,406.993,-728.639,1066.22
148,0,37.8996,16.5726,-55.6847,403.527,-726.012,1068.85
149,0,37.986,17.0523,-55.6213,399.905,-722.762,1072.14
150,0,38.193,17.9288,-56.0063,395.923,-718.94,1076.18
151,0,38.7945,21.3769,-59.3936,390.923,-714.331,1080.03
152,0,39.1088,22.1777,-58.8713,386.228,-709.836,1085.16
153,0,39.5044,22.9246,-58.5012,380.71,-704.937,1090.57
154,0,39.7541,23.6336,-57.9341,374.736,-699.874,1096.41
155,0,40.0012,24.3509,-57.2949,368.011,-694.586,1102.52
156,0,40.434,24.7397,-56.5543,360.131,-688.977,1108.84
157,0,40.5227,25.6016,-55.6548,352.625,-683.265,1115.99
158,0,40.9811,26.1392,-54.6298,344.256,-677.295,1123.51
159,0,41.1693,27.4441,-54.0967,336.2,-671.167,1131.79
160,0,42.0474,28.186,-53.6098,326.815,-664.95,1140.07
161,0,42.6097,28.9851,-52.8274,317.439,-658.749,1149.04
162,0,43.0129,30.0278,-51.9312,307.652,-652.529,1158.43
163,0,43.4399,30.7919,-50.6982,297.157,-646.358,1168.19
164,0,44.0658,31.4241,-49.208,285.702,-640.213,1178.1
165,0,44.5283,32.281,-47.6439,274.249,-634.215,1188.8
166,0,44.7467,35.0949,-48.4398,261.761,-628.898,1199.89
167,0,45.4109,35.646,-46.4818,249.693,-623.18,1211.2
168,0,45.1647,37.9826,-45.8241,238.166,-618.363,1223.29
169,0,46.1958,38.0345,-44.4104,223.711,-613.116,1234.8
170,0,45.8173,40.5903,-43.79,211.387,-609.09,1247.54
171,0,46.8441,40.7154,-42.1135,196.305,-604.517,1259.89
172,0,46.6429,42.8691,-40.9429,183.211,-601.182,1273.41
173,0,47.8364,43.1372,-39.2387,167.461,-597.419,1286.55
174,0,48.1983,44.5467,-37.5192,153.207,-594.601,1300.68
175,0,49.1446,45.7898,-36.219,137.808,-592.052,1314.83
176,0,49.9874,47.0268,-34.344,122.629,-590.142,1329.43
177,0,50.6787,48.397,-32.411,107.3,-588.866,1344.41
178,0,51.3145,49.8911,-30.592,91.8382,-588.309,1359.4
179,0,52.7987,48.84,-26.1573,76.7438,-587.936,1374.46
